"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.220824270899333,0.00619580271773748,35.6409461307012,2.59026639283793e-225
"PC1",-1.03438537260561,0.310037868941967,-3.33631945070306,0.000861375504490921
"PC2",0.377664919444178,0.310037868941966,1.2181251301107,0.223291418441972
"PC3",0.124490555906109,0.310037868941966,0.401533387940462,0.688061795033108
"PC4",0.262546494013846,0.310037868941967,0.846820728415566,0.397176138764151
