"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",0.353383144957708,0.00940026884623445,37.5928764100471,1.5822367100347e-245
"PC1",3.36016658143347,0.470389302781473,7.14337371527024,1.18939801081457e-12
"PC2",-4.72309968052099,0.470389302781472,-10.0408313977225,2.76806810798871e-23
"PC3",0.475321754904492,0.470389302781472,1.01048589347983,0.312360381616452
"PC4",-0.637041416449685,0.470389302781474,-1.35428550922135,0.175767748225851
